2025-01-13 at 20:59:43 | DEBUG | User with telegram_id=755919498 used command /start
2025-01-13 at 21:01:12 | CRITICAL | Bot stopped!
2025-01-13 at 21:03:29 | DEBUG | User with telegram_id=755919498 used command /start
2025-01-13 at 21:04:59 | CRITICAL | Bot stopped!
2025-01-13 at 21:05:15 | DEBUG | User with telegram_id=755919498 used command /start
2025-01-13 at 21:05:43 | CRITICAL | Bot stopped!
2025-01-13 at 21:06:24 | DEBUG | User with telegram_id=755919498 used command /start
2025-01-13 at 21:06:31 | CRITICAL | Bot stopped!
2025-01-14 at 20:48:14 | INFO | Bot started successfully!
2025-01-14 at 20:50:39 | CRITICAL | Bot stopped!
2025-03-03 at 19:54:38 | INFO | Bot started successfully!
2025-03-03 at 19:55:01 | DEBUG | User with telegram_id=755919498 used command /start
2025-03-03 at 19:58:13 | CRITICAL | Bot stopped!
2025-03-03 at 20:38:35 | INFO | Bot started successfully!
2025-03-03 at 20:38:45 | DEBUG | User with telegram_id=755919498 used command /start
2025-03-03 at 20:39:32 | CRITICAL | Bot stopped!
2025-03-03 at 20:41:30 | INFO | Bot started successfully!
2025-03-03 at 20:45:30 | CRITICAL | Bot stopped!
2025-03-05 at 19:46:20 | INFO | Bot started successfully!
2025-03-05 at 19:46:44 | DEBUG | User with telegram_id=755919498 used command /start
2025-03-05 at 19:46:53 | DEBUG | User with telegram_id=755919498 clicked menu button
2025-03-05 at 19:46:56 | DEBUG | User with telegram_id=755919498 clicked menu button
2025-03-05 at 19:46:57 | DEBUG | User with telegram_id=755919498 clicked menu button
2025-03-05 at 19:46:59 | DEBUG | User with telegram_id=755919498 clicked menu button
2025-03-05 at 19:47:00 | DEBUG | User with telegram_id=755919498 clicked menu button
2025-03-05 at 19:47:00 | DEBUG | User with telegram_id=755919498 clicked menu button
2025-03-05 at 19:47:01 | DEBUG | User with telegram_id=755919498 clicked menu button
2025-03-05 at 19:47:02 | DEBUG | User with telegram_id=755919498 clicked menu button
2025-03-05 at 19:47:58 | CRITICAL | Bot stopped!
2025-03-05 at 20:33:39 | INFO | Bot started successfully!
2025-03-05 at 20:35:51 | CRITICAL | Bot stopped!
2025-03-05 at 20:35:58 | INFO | Bot started successfully!
2025-03-05 at 20:36:02 | DEBUG | User with telegram_id=755919498 used command /start
2025-03-05 at 20:37:21 | CRITICAL | Bot stopped!
2025-03-05 at 20:37:27 | INFO | Bot started successfully!
2025-03-05 at 20:37:31 | DEBUG | User with telegram_id=755919498 used command /start
2025-03-05 at 20:37:31 | DEBUG | User with telegram_id=755919498 added to Users
2025-03-05 at 20:40:01 | CRITICAL | Bot stopped!
2025-03-05 at 20:47:10 | INFO | Bot started successfully!
2025-03-05 at 20:47:15 | DEBUG | User with telegram_id=755919498 used command /start
2025-03-05 at 20:47:15 | DEBUG | User with telegram_id=755919498 already exists in Users
2025-03-05 at 20:47:18 | DEBUG | User with telegram_id=755919498 clicked menu button
2025-03-05 at 20:47:19 | DEBUG | User with telegram_id=755919498 clicked menu button
2025-03-05 at 20:47:20 | DEBUG | User with telegram_id=755919498 clicked menu button
2025-03-05 at 20:47:20 | DEBUG | User with telegram_id=755919498 clicked menu button
2025-03-05 at 20:47:20 | DEBUG | User with telegram_id=755919498 clicked menu button
2025-03-05 at 20:47:24 | DEBUG | User with telegram_id=755919498 clicked menu button
2025-03-05 at 20:47:25 | DEBUG | User with telegram_id=755919498 clicked menu button
2025-03-05 at 20:47:25 | DEBUG | User with telegram_id=755919498 clicked menu button
2025-03-05 at 20:47:26 | DEBUG | User with telegram_id=755919498 clicked menu button
2025-03-05 at 20:47:28 | DEBUG | User with telegram_id=755919498 clicked menu button
2025-03-05 at 20:47:32 | DEBUG | User with telegram_id=755919498 clicked menu button
2025-03-05 at 20:48:23 | CRITICAL | Bot stopped!
